mobile_name,price
"DUX DUCIS DUX DUCIS Aimo Cover for the Samsung Z Fold 5 mobile phone, compatible with MagSafe, a slim, transparent matte cover made of TPU, polycarbonate, polypropylene, silicone - black ",585
Generic A Beautifully Designed Cute And Attractive Educational Mobile Phone For Children ,199
Generic Mobile Phone Adjustable Stand Holder For Desk Compatible With All Devics ,85
Generic ELMO3EZZ Luxury PU Leather and Shockproof Mobile Cover with Wood Grain Design for Reno 8 Pro 5G (Green) ,145.80
Generic Mobile Phone Adjustable Stand Holder For Desk Compatible With All Devics ,85
Generic Folding Mobile Phone Stand Holder Telescopic for Desktop Bracket ,69
Holder Mini Foldable Desktop Cell Phone Holder ,80
Generic Cute Cartoon Anti-fall Phone Case for iPhone 12 pro Coffee Series Cute Cartoon Coal Ball Animal Cover ,260
"Generic Magnetic Case for iPhone 15  , Compatible with Wireless Charging [Silky Touch] [Matte PC Back] TPU Bumper Shockproof Slim Thin Phone Case  - light blue ",190
"Generic Magnetic Case for iPhone 15, Compatible with Wireless Charging [Silky Touch] [Matte PC Back] TPU Bumper Shockproof Slim Thin Phone Case 6.1"" - Blue ",190
"Generic Magnetic Case for iPhone 15  , Compatible with Wireless Charging [Silky Touch] [Matte PC Back] TPU Bumper Shockproof Slim Thin Phone Case  - Black ",190
"Generic Magnetic Case for iPhone 15  , Compatible with Wireless Charging [Silky Touch] [Matte PC Back] TPU Bumper Shockproof Slim Thin Phone Case  - blue ",190
Generic LEORY Cell Phone Holder Bracket Neck Waist Desk Selfie Smartphone Lazy Bed Flexible Long Arms Holder Desktop Mobile Stand Black ,66
Samsung Galaxy A15 Blue Black 128 GB 4G lte With  Case Soft TPU Silicone Bumper Corner Full Camera Protection Cover Clear And HD Plus Super Glass Screen Protector Black ,"7,490"
"Generic Magnetic Case for iPhone 15  , Compatible with Wireless Charging [Silky Touch] [Matte PC Back] TPU Bumper Shockproof Slim Thin Phone Case  - red ",190
Generic Cute Cartoon Anti-fall Phone Case for iPhone 15 pro max Coffee Series Cute Cartoon Coal Ball Animal Cover ,260
